trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",25,13,-32.048751540152715,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,10,-0.6909868529359491,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,14,13.578262907482417,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,17,14.483716749614445,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26982005638468687}",20,15,-0.5926464120211867,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2671353019658504}",25,7,12.06745950626972,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,10,18.64816710612442,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,18,13.970678389410004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,0,-24.151135443692198,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,6,7.883897789838047,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,0,15.001737553384585,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.2515785530597565}",30,0,45.85401825096562,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.2490753046316682}",25,11,23.01582822992538,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160646}",25,16,-68.39564227841987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,6,-22.930102858722964,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703648}",25,13,6.960985055650006,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,15,6.687266089340139,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2369277586821218}",20,9,-30.118232409421125,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379768}",25,17,14.706088892262743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975886}",30,8,-59.47958829197413,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672387}",25,20,9.837622391300275,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381276}",35,22,22.763730182645695,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
